Heart_Rate,Time
691,20:08:11
673,20:08:11
651,20:08:11
630,20:08:11
614,20:08:11
601,20:08:11
589,20:08:11
582,20:08:11
579,20:08:11
580,20:08:11
586,20:08:11
592,20:08:11
597,20:08:11
604,20:08:11
614,20:08:11
622,20:08:11
631,20:08:11
645,20:08:11
677,20:08:11
742,20:08:11
842,20:08:11
978,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
966,20:08:12
856,20:08:12
761,20:08:12
684,20:08:12
624,20:08:12
589,20:08:12
584,20:08:12
600,20:08:12
629,20:08:12
663,20:08:12
694,20:08:12
715,20:08:12
727,20:08:12
729,20:08:12
721,20:08:12
704,20:08:12
677,20:08:12
641,20:08:12
607,20:08:12
578,20:08:12
554,20:08:12
567,20:08:12
568,20:08:12
570,20:08:12
569,20:08:12
567,20:08:12
564,20:08:12
561,20:08:12
573,20:08:12
610,20:08:12
680,20:08:12
781,20:08:12
911,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
1023,20:08:12
905,20:08:12
795,20:08:12
695,20:08:12
610,20:08:12
577,20:08:13
614,20:08:13
649,20:08:13
677,20:08:13
691,20:08:13
695,20:08:13
691,20:08:13
676,20:08:13
657,20:08:13
636,20:08:13
617,20:08:13
601,20:08:13
588,20:08:13
581,20:08:13
575,20:08:13
575,20:08:13
573,20:08:13
576,20:08:13
583,20:08:13
591,20:08:13
595,20:08:13
599,20:08:13
599,20:08:13
605,20:08:13
618,20:08:13
642,20:08:13
686,20:08:13
751,20:08:13
836,20:08:13
931,20:08:13
1022,20:08:13
1023,20:08:13
1023,20:08:13
1023,20:08:13
1023,20:08:13
1023,20:08:13
1023,20:08:13
989,20:08:13
900,20:08:13
810,20:08:13
730,20:08:13
665,20:08:13
620,20:08:13
589,20:08:13
587,20:08:13
602,20:08:13
638,20:08:13
683,20:08:13
728,20:08:13
769,20:08:13
799,20:08:13
815,20:08:13
819,20:08:13
810,20:08:13
788,20:08:13
761,20:08:13
729,20:08:13
698,20:08:13
671,20:08:13
646,20:08:13
626,20:08:13
612,20:08:13
603,20:08:13
606,20:08:13
616,20:08:13
628,20:08:13
642,20:08:14
653,20:08:14
660,20:08:14
667,20:08:14
674,20:08:14
690,20:08:14
725,20:08:14
775,20:08:14
850,20:08:14
947,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1003,20:08:14
892,20:08:14
794,20:08:14
707,20:08:14
641,20:08:14
595,20:08:14
575,20:08:14
574,20:08:14
593,20:08:14
619,20:08:14
651,20:08:14
681,20:08:14
706,20:08:14
723,20:08:14
735,20:08:14
739,20:08:14
731,20:08:14
712,20:08:14
687,20:08:14
662,20:08:14
637,20:08:14
620,20:08:14
614,20:08:14
612,20:08:14
610,20:08:14
622,20:08:14
629,20:08:14
635,20:08:14
641,20:08:14
644,20:08:14
646,20:08:14
647,20:08:14
650,20:08:14
653,20:08:14
655,20:08:14
656,20:08:14
651,20:08:14
659,20:08:14
680,20:08:14
728,20:08:14
801,20:08:14
904,20:08:14
1019,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
1023,20:08:14
939,20:08:14
843,20:08:15
753,20:08:15
679,20:08:15
619,20:08:15
574,20:08:15
561,20:08:15
587,20:08:15
619,20:08:15
647,20:08:15
674,20:08:15
692,20:08:15
704,20:08:15
707,20:08:15
705,20:08:15
694,20:08:15
680,20:08:15
657,20:08:15
636,20:08:15
621,20:08:15
613,20:08:15
607,20:08:15
609,20:08:15
612,20:08:15
613,20:08:15
617,20:08:15
622,20:08:15
628,20:08:15
634,20:08:15
635,20:08:15
637,20:08:15
640,20:08:15
642,20:08:15
644,20:08:15
657,20:08:15
685,20:08:15
735,20:08:15
812,20:08:15
912,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
1023,20:08:15
959,20:08:15
876,20:08:15
801,20:08:15
741,20:08:15
693,20:08:15
661,20:08:15
645,20:08:15
645,20:08:15
653,20:08:15
675,20:08:15
